perfil;red_social;tweets_post_totales;tweets_post_diarios;seguidores_fans_totales;seguidores_fans_diarios;fecha
Deporte en Castilla y León;2;3948;9;1029;-1;12/02/2024
Energía EREN;2;1100;3;3352;0;12/02/2024
Instituto de la Juventud de Castilla y León;2;275;3;19238;0;13/02/2024
Turismo Castilla y León es Vida;2;473;13;123901;16;13/02/2024
Tierra de Sabor;2;9732;22;29428;11;13/02/2024
Marca Territorio;2;206;1;16200;-3;13/02/2024
Naturaleza Castilla y León;2;8625;3;16831;-2;13/02/2024
Energía EREN;2;1105;5;3350;-2;13/02/2024
Instituto de la Juventud de Castilla y León;2;282;7;19239;1;14/02/2024
Museos de Castilla y León;2;541;8;26713;5;14/02/2024
Centro de Emergencias Castilla y León 112;2;333;3;81055;10;14/02/2024
Turismo Castilla y León es Vida;2;473;0;123912;11;14/02/2024
ITACYL Instituto Técnico Agrario;2;499;0;0;0;14/02/2024
Deporte en Castilla y León;2;3956;6;1029;0;14/02/2024
Patrimonio Castilla y León;2;2142;0;2897;2;14/02/2024
Trabajo y Prevención de Castilla y León;2;135;6;4504;0;14/02/2024
Museos de Castilla y León;2;550;9;26709;-4;15/02/2024
Tierra de Sabor;2;9743;0;29427;-3;15/02/2024
ITACYL Instituto Técnico Agrario;2;499;0;0;0;15/02/2024
Deporte en Castilla y León;2;3961;5;1029;0;15/02/2024
Educación;2;160;2;59625;2;15/02/2024
Naturaleza Castilla y León;2;8625;0;16836;2;15/02/2024
Cultura de Castilla y León;2;2966;5;12823;2;15/02/2024
Trabajo y Prevención de Castilla y León;2;140;5;4507;3;15/02/2024
Atención al ciudadano 012;2;1390;7;12459;2;15/02/2024
Energía EREN;2;1115;6;3347;-2;15/02/2024
Gobierno Abierto de Castilla y León Transparencia;2;228;3;3761;-1;16/02/2024
Turismo Castilla y León es Vida;2;493;9;123928;13;16/02/2024
Marca Territorio;2;212;2;16208;5;16/02/2024
Deporte en Castilla y León;2;3965;4;1028;-1;16/02/2024
Patrimonio Castilla y León;2;2142;0;2899;3;16/02/2024
Trabajo y Prevención de Castilla y León;2;147;7;4507;0;16/02/2024
Energía EREN;2;1119;4;3347;0;16/02/2024
Salud+JCYL;2;1744;2;43378;7;17/02/2024
Museos de Castilla y León;2;568;9;26718;1;17/02/2024
Comunicación Junta de Castilla y León;2;2037;9;84927;24;17/02/2024
Turismo Castilla y León es Vida;2;501;8;123937;9;17/02/2024
Castilla y León Digital;2;168;5;6570;1;17/02/2024
Naturaleza Castilla y León;2;8627;0;16836;-2;17/02/2024
Atención al ciudadano 012;2;1401;4;12462;-1;17/02/2024
Salud+JCYL;2;1746;2;43380;2;18/02/2024
Museos de Castilla y León;2;577;9;26722;4;18/02/2024
Gobierno Abierto de Castilla y León Transparencia;2;231;1;3761;0;18/02/2024
Comunicación Junta de Castilla y León;2;2047;10;84945;18;18/02/2024
Turismo Castilla y León es Vida;2;508;7;123949;12;18/02/2024
ECLAP Escuela de Administración Pública;2;84;8;6037;-1;18/02/2024
Marca Territorio;2;214;1;16214;5;18/02/2024
ITACYL Instituto Técnico Agrario;2;499;0;0;0;18/02/2024
Deporte en Castilla y León;2;3965;0;1030;1;18/02/2024
Cultura de Castilla y León;2;2981;5;12833;4;18/02/2024
Trabajo y Prevención de Castilla y León;2;155;4;4507;1;18/02/2024
Atención al ciudadano 012;2;1401;0;12462;0;18/02/2024
Centro de Emergencias Castilla y León 112;2;367;5;81085;-2;19/02/2024
Turismo Castilla y León es Vida;2;518;10;123952;3;19/02/2024
Tierra de Sabor;2;9775;7;29443;3;19/02/2024
Patrimonio Natural;2;102;3;8600;0;19/02/2024
Deporte en Castilla y León;2;3973;8;1031;1;19/02/2024
Atención al ciudadano 012;2;1407;6;12463;1;19/02/2024
Energía EREN;2;1132;7;3347;0;19/02/2024
Museos de Castilla y León;2;593;7;26720;-6;20/02/2024
Comunicación Junta de Castilla y León;2;2066;11;84973;17;20/02/2024
Centro de Emergencias Castilla y León 112;2;376;9;81081;-4;20/02/2024
Turismo Castilla y León es Vida;2;529;11;123957;5;20/02/2024
ECLAP Escuela de Administración Pública;2;101;8;6041;0;20/02/2024
Marca Territorio;2;218;2;16216;1;20/02/2024
FUESCYL Fundación Universidades;2;72;7;3666;0;20/02/2024
Trabajo y Prevención de Castilla y León;2;168;6;4513;3;20/02/2024
Salud+JCYL;2;1757;4;43406;5;21/02/2024
Instituto de la Juventud de Castilla y León;2;311;4;19241;1;21/02/2024
Museos de Castilla y León;2;601;8;26719;-1;21/02/2024
Patrimonio Castilla y León;2;2142;0;2900;1;21/02/2024
Centro de Emergencias Castilla y León 112;2;389;7;81094;5;22/02/2024
ECLAP Escuela de Administración Pública;2;118;9;6045;0;22/02/2024
Patrimonio Natural;2;111;3;8604;-1;22/02/2024
FUESCYL Fundación Universidades;2;76;0;3668;1;22/02/2024
ITACYL Instituto Técnico Agrario;2;503;2;0;0;22/02/2024
Cultura de Castilla y León;2;3001;5;12845;-2;22/02/2024
Comunicación Junta de Castilla y León;2;2099;9;0;0;23/02/2024
Centro de Emergencias Castilla y León 112;2;394;5;0;0;23/02/2024
Turismo Castilla y León es Vida;2;560;13;0;0;23/02/2024
ITACYL Instituto Técnico Agrario;2;505;2;0;0;23/02/2024
Deporte en Castilla y León;2;3989;4;0;0;23/02/2024
Patrimonio Castilla y León;2;2142;0;0;0;23/02/2024
Salud+JCYL;2;1767;3;43435;0;24/02/2024
Gobierno Abierto de Castilla y León Transparencia;2;267;1;3763;0;24/02/2024
Centro de Emergencias Castilla y León 112;2;399;5;81106;0;24/02/2024
Marca Territorio;2;223;1;16229;0;24/02/2024
Patrimonio Natural;2;117;3;8604;0;24/02/2024
ITACYL Instituto Técnico Agrario;2;506;1;0;0;24/02/2024
Deporte en Castilla y León;2;3990;1;1033;0;24/02/2024
ECLAP Escuela de Administración Pública;2;146;11;6055;1;25/02/2024
Patrimonio Natural;2;120;3;8604;0;25/02/2024
FUESCYL Fundación Universidades;2;76;0;3669;-1;25/02/2024
Deporte en Castilla y León;2;3990;0;1033;0;25/02/2024
Naturaleza Castilla y León;2;8637;1;16840;-2;25/02/2024
Atención al ciudadano 012;2;1431;0;12466;-3;25/02/2024
Empresas JCYL - ICE;2;7;0;0;0;25/02/2024
Salud+JCYL;2;1772;3;43444;8;26/02/2024
Instituto de la Juventud de Castilla y León;2;337;8;19251;0;26/02/2024
Centro de Emergencias Castilla y León 112;2;414;6;81120;10;26/02/2024
Turismo Castilla y León es Vida;2;560;0;123996;4;26/02/2024
Tierra de Sabor;2;9816;7;29449;-4;26/02/2024
ECLAP Escuela de Administración Pública;2;156;10;6056;1;26/02/2024
Marca Territorio;2;226;2;16226;-1;26/02/2024
Patrimonio Natural;2;123;3;8604;0;26/02/2024
Castilla y León Digital;2;206;3;6576;0;26/02/2024
Familia;2;3;1;3797;0;26/02/2024
Deporte en Castilla y León;2;3995;5;1033;0;26/02/2024
Atención al ciudadano 012;2;1440;9;12467;1;26/02/2024
Empresas JCYL - ICE;2;12;5;0;0;26/02/2024
Salud+JCYL;2;1776;4;43460;16;27/02/2024
Museos de Castilla y León;2;656;9;26723;1;27/02/2024
Comunicación Junta de Castilla y León;2;2136;9;85117;22;27/02/2024
Turismo Castilla y León es Vida;2;560;0;123994;-2;27/02/2024
Marca Territorio;2;228;2;16227;1;27/02/2024
Patrimonio Natural;2;126;3;8604;0;27/02/2024
Castilla y León Digital;2;206;0;6577;1;27/02/2024
Energía EREN;2;1177;7;3353;0;27/02/2024
Museos de Castilla y León;2;666;10;26722;-1;28/02/2024
Comunicación Junta de Castilla y León;2;2146;10;85143;26;28/02/2024
Patrimonio Natural;2;129;3;8603;-1;28/02/2024
ITACYL Instituto Técnico Agrario;2;511;2;2781;0;28/02/2024
Deporte en Castilla y León;2;4000;3;1033;0;28/02/2024
Patrimonio Castilla y León;2;2142;0;2901;2;28/02/2024
Atención al ciudadano 012;2;1452;4;12472;3;28/02/2024
Empresas JCYL - ICE;2;22;5;3232;0;28/02/2024
Centro de Emergencias Castilla y León 112;2;414;0;81145;11;29/02/2024
Turismo Castilla y León es Vida;2;572;12;124026;18;29/02/2024
Marca Territorio;2;231;2;16235;3;29/02/2024
FUESCYL Fundación Universidades;2;102;5;3670;1;29/02/2024
ITACYL Instituto Técnico Agrario;2;511;0;2781;0;29/02/2024
Familia;2;9;1;3799;-1;29/02/2024
Atención al ciudadano 012;2;1452;0;12474;2;29/02/2024
Gobierno Abierto de Castilla y León Transparencia;2;288;2;3767;2;1/03/2024
Comunicación Junta de Castilla y León;2;2168;10;85176;14;1/03/2024
Tierra de Sabor;2;9830;0;29451;0;1/03/2024
ECLAP Escuela de Administración Pública;2;193;9;6061;0;1/03/2024
Familia;1;533;8;2183;-1;12/03/2024
Salud+JCYL;1;1089;3;50453;1;13/03/2024
Tierra de Sabor;1;4319;1;65564;1;13/03/2024
ECLAP Escuela de Administración Pública;1;534;1;3986;0;13/03/2024
Marca Territorio;1;405;2;3677;0;13/03/2024
Familia;1;535;2;2183;0;13/03/2024
Deporte en Castilla y León;1;746;1;2295;6;13/03/2024
Empresas JCYL - ICE;1;0;0;876;0;13/03/2024
Instituto de la Juventud de Castilla y León;1;2134;5;18433;4;14/03/2024
Archivos de Castilla y León;1;885;3;6959;2;14/03/2024
CREFES Formación y Estudios Sociales;1;45;0;3456;0;14/03/2024
ECLAP Escuela de Administración Pública;1;535;1;3986;0;14/03/2024
Empleo en Castilla y León;1;4172;18;14522;3;14/03/2024
Salud+JCYL;1;1097;4;50456;1;15/03/2024
Comunicación Junta de Castilla y León;1;1579;3;38550;8;15/03/2024
Turismo Castilla y León es Vida;1;1113;2;95591;7;15/03/2024
ECLAP Escuela de Administración Pública;1;536;1;3986;0;15/03/2024
Marca Territorio;1;409;2;3678;1;15/03/2024
Familia;1;536;0;2186;2;15/03/2024
Empresas JCYL - ICE;1;0;0;878;0;15/03/2024
Salud+JCYL;1;1099;2;50454;-2;16/03/2024
Instituto de la Juventud de Castilla y León;1;2142;3;18446;5;16/03/2024
Centro de Emergencias Castilla y León 112;1;2374;7;23539;4;16/03/2024
Tierra de Sabor;1;4328;2;65581;9;16/03/2024
ECLAP Escuela de Administración Pública;1;537;1;3986;0;16/03/2024
Castilla y León Exterior;1;81;0;1019;0;16/03/2024
Comunicación Junta de Castilla y León;1;1583;2;38565;6;17/03/2024
Centro de Emergencias Castilla y León 112;1;2378;4;23549;10;17/03/2024
Tierra de Sabor;1;4330;2;65582;1;17/03/2024
Archivos de Castilla y León;1;892;2;6964;3;17/03/2024
FUESCYL Fundación Universidades;1;461;0;3486;0;17/03/2024
Patrimonio Castilla y León;1;508;0;1436;1;17/03/2024
Turismo Castilla y León es Vida;1;1119;3;95611;9;18/03/2024
Castilla y León Digital;1;2255;2;3622;2;18/03/2024
FUESCYL Fundación Universidades;1;464;3;3486;0;18/03/2024
Castilla y León Exterior;1;82;1;1020;0;18/03/2024
Familia;1;540;3;2187;1;18/03/2024
Museos de Castilla y León;1;1007;2;9207;3;19/03/2024
Turismo Castilla y León es Vida;1;1122;3;95624;13;19/03/2024
ECLAP Escuela de Administración Pública;1;542;1;3987;2;19/03/2024
FUESCYL Fundación Universidades;1;465;1;3487;1;19/03/2024
Empleo en Castilla y León;1;4227;15;14531;0;19/03/2024
Familia;1;541;1;2189;2;19/03/2024
Deporte en Castilla y León;1;750;2;2328;7;19/03/2024
Instituto de la Juventud de Castilla y León;1;2161;5;18473;14;20/03/2024
Tierra de Sabor;1;4336;2;65607;0;20/03/2024
ECLAP Escuela de Administración Pública;1;544;2;3987;0;20/03/2024
Marca Territorio;1;417;2;3678;0;20/03/2024
Patrimonio Natural;1;438;1;11827;1;20/03/2024
Patrimonio Castilla y León;1;508;0;1436;0;20/03/2024
Empresas JCYL - ICE;1;0;0;880;0;20/03/2024
Instituto de la Juventud de Castilla y León;1;2166;5;18484;11;21/03/2024
Archivos de Castilla y León;1;903;3;6965;1;21/03/2024
CREFES Formación y Estudios Sociales;1;45;0;3461;1;21/03/2024
ECLAP Escuela de Administración Pública;1;546;2;3986;-1;21/03/2024
Castilla y León Digital;1;2268;5;3626;3;21/03/2024
FUESCYL Fundación Universidades;1;469;2;3487;0;21/03/2024
Deporte en Castilla y León;1;754;2;2337;4;21/03/2024
Salud+JCYL;1;1127;4;50464;2;22/03/2024
Museos de Castilla y León;1;1013;2;9211;2;22/03/2024
Comunicación Junta de Castilla y León;1;1622;6;38697;9;22/03/2024
Tierra de Sabor;1;4352;7;65604;-2;22/03/2024
CREFES Formación y Estudios Sociales;1;45;0;3462;1;22/03/2024
Patrimonio Natural;1;440;1;11826;1;22/03/2024
Castilla y León Digital;1;2271;3;3628;2;22/03/2024
Castilla y León Exterior;1;82;0;1022;0;22/03/2024
Empleo en Castilla y León;1;4271;13;14544;0;22/03/2024
ITACYL Instituto Técnico Agrario;1;1557;4;2844;0;22/03/2024
Instituto de la Juventud de Castilla y León;1;2174;3;18492;3;23/03/2024
Museos de Castilla y León;1;1016;3;9212;1;23/03/2024
Tierra de Sabor;1;4356;4;65599;-5;23/03/2024
Archivos de Castilla y León;1;909;3;6969;4;23/03/2024
Castilla y León Digital;1;2274;3;3629;1;23/03/2024
ITACYL Instituto Técnico Agrario;1;1560;3;2844;0;23/03/2024
Familia;1;546;0;2193;0;23/03/2024
Patrimonio Castilla y León;1;508;0;1436;0;23/03/2024
Empresas JCYL - ICE;1;0;0;879;-1;23/03/2024
Comunicación Junta de Castilla y León;1;1628;3;38716;12;24/03/2024
Turismo Castilla y León es Vida;1;1132;2;95635;5;24/03/2024
Archivos de Castilla y León;1;911;2;6969;0;24/03/2024
Castilla y León Digital;1;2277;3;3630;1;24/03/2024
Castilla y León Exterior;1;82;0;1023;0;24/03/2024
ITACYL Instituto Técnico Agrario;1;1562;2;2844;0;24/03/2024
Familia;1;546;0;2193;0;24/03/2024
Instituto de la Juventud de Castilla y León;2;69;1;19231;-3;1/01/2024
Museos de Castilla y León;2;147;2;26661;1;1/01/2024
Gobierno Abierto de Castilla y León Transparencia;2;9;1;3734;0;1/01/2024
Comunicación Junta de Castilla y León;2;1561;8;83974;7;1/01/2024
Tierra de Sabor;2;9424;5;29413;1;1/01/2024
ITACYL Instituto Técnico Agrario;2;499;0;0;0;1/01/2024
Patrimonio Castilla y León;2;2142;0;0;0;1/01/2024
Naturaleza Castilla y León;2;8590;0;0;0;1/01/2024
Cultura de Castilla y León;2;2741;0;0;0;1/01/2024
Energía EREN;2;965;1;3349;0;1/01/2024
Salud+JCYL;2;1585;3;42961;3;2/01/2024
Gobierno Abierto de Castilla y León Transparencia;2;14;5;3733;-1;2/01/2024
Comunicación Junta de Castilla y León;2;1569;8;84002;28;2/01/2024
Patrimonio Castilla y León;2;2142;0;0;0;2/01/2024
Instituto de la Juventud de Castilla y León;2;83;8;19231;0;3/01/2024
Centro de Emergencias Castilla y León 112;2;7;7;0;0;3/01/2024
Tierra de Sabor;2;9434;6;29411;-1;3/01/2024
Castilla y León Digital;2;3;3;0;0;3/01/2024
Deporte en Castilla y León;2;3818;1;1019;-1;3/01/2024
Patrimonio Castilla y León;2;2142;0;0;0;3/01/2024
Educación;2;4;1;0;0;3/01/2024
Naturaleza Castilla y León;2;8590;0;0;0;3/01/2024
Cultura de Castilla y León;2;2751;5;0;0;3/01/2024
Salud+JCYL;2;1591;4;42978;7;4/01/2024
Centro de Emergencias Castilla y León 112;2;12;5;0;0;4/01/2024
Turismo Castilla y León es Vida;2;17;8;0;0;4/01/2024
Marca Territorio;2;139;2;16155;4;4/01/2024
ITACYL Instituto Técnico Agrario;2;499;0;0;0;4/01/2024
Educación;2;5;1;0;0;4/01/2024
Cultura de Castilla y León;2;2756;5;0;0;4/01/2024
Atención al ciudadano 012;2;1116;10;0;0;4/01/2024
Instituto de la Juventud de Castilla y León;2;98;5;19230;2;5/01/2024
Turismo Castilla y León es Vida;2;24;7;0;0;5/01/2024
ITACYL Instituto Técnico Agrario;2;499;0;0;0;5/01/2024
Deporte en Castilla y León;2;3825;2;1019;0;5/01/2024
Atención al ciudadano 012;2;1126;10;0;0;5/01/2024
Museos de Castilla y León;2;190;8;26666;3;6/01/2024
Turismo Castilla y León es Vida;2;30;6;0;0;6/01/2024
Tierra de Sabor;2;9450;5;29411;-4;6/01/2024
ITACYL Instituto Técnico Agrario;2;499;0;0;0;6/01/2024
Comunicación Junta de Castilla y León;2;1617;10;84092;29;7/01/2024
Centro de Emergencias Castilla y León 112;2;29;6;0;0;7/01/2024
Castilla y León Digital;2;19;4;0;0;7/01/2024
Deporte en Castilla y León;2;3825;0;1020;1;7/01/2024
Cultura de Castilla y León;2;2771;5;12737;0;7/01/2024
Atención al ciudadano 012;2;1126;0;0;0;7/01/2024
Energía EREN;2;987;0;3350;0;7/01/2024
Salud+JCYL;2;1602;3;42996;5;8/01/2024
Comunicación Junta de Castilla y León;2;1626;9;84112;20;8/01/2024
Castilla y León Digital;2;23;4;6525;0;8/01/2024
Educación;2;12;5;59317;5;8/01/2024
Atención al ciudadano 012;2;1136;10;0;0;8/01/2024
Salud+JCYL;2;1605;3;43013;17;9/01/2024
Centro de Emergencias Castilla y León 112;2;39;5;80769;14;9/01/2024
Turismo Castilla y León es Vida;2;56;10;123578;23;9/01/2024
Tierra de Sabor;2;9472;7;29412;-1;9/01/2024
Marca Territorio;2;147;2;16162;0;9/01/2024
Deporte en Castilla y León;2;3831;3;1022;0;9/01/2024
Cultura de Castilla y León;2;2782;6;12745;5;9/01/2024
Centro de Emergencias Castilla y León 112;2;46;7;80769;0;10/01/2024
Deporte en Castilla y León;2;3838;7;1023;1;10/01/2024
Patrimonio Castilla y León;2;2142;0;2894;-2;10/01/2024
Cultura de Castilla y León;2;2787;5;12746;1;10/01/2024
Instituto de la Juventud de Castilla y León;2;122;5;19229;1;11/01/2024
Tierra de Sabor;2;9480;2;29419;2;11/01/2024
Marca Territorio;2;151;2;16165;0;11/01/2024
Patrimonio Castilla y León;2;2142;0;2894;0;11/01/2024
Cultura de Castilla y León;2;2793;6;12750;4;11/01/2024
Atención al ciudadano 012;2;1163;8;0;0;11/01/2024
Instituto de la Juventud de Castilla y León;2;126;4;19228;-1;12/01/2024
Museos de Castilla y León;2;244;9;26675;3;12/01/2024
Centro de Emergencias Castilla y León 112;2;57;4;80788;12;12/01/2024
Educación;2;31;4;59362;7;12/01/2024
Cultura de Castilla y León;2;2799;6;12755;5;12/01/2024
Atención al ciudadano 012;2;1171;8;0;0;12/01/2024
Energía EREN;2;1010;6;3351;1;12/01/2024
Museos de Castilla y León;2;253;9;26677;2;13/01/2024
Turismo Castilla y León es Vida;2;100;11;123610;8;13/01/2024
Deporte en Castilla y León;2;3845;0;1022;0;13/01/2024
Patrimonio Castilla y León;2;2142;0;2895;0;13/01/2024
Cultura de Castilla y León;2;2805;6;12761;6;13/01/2024
Atención al ciudadano 012;2;1175;4;0;0;13/01/2024
Gobierno Abierto de Castilla y León Transparencia;2;64;1;3745;1;14/01/2024
Centro de Emergencias Castilla y León 112;2;66;3;80795;3;14/01/2024
Tierra de Sabor;2;9496;3;29412;-4;14/01/2024
Salud+JCYL;1;875;2;50273;0;1/01/2024
Museos de Castilla y León;1;832;2;9103;0;1/01/2024
Turismo Castilla y León es Vida;1;952;2;99000;5;1/01/2024
Archivos de Castilla y León;1;734;1;7102;0;1/01/2024
FUESCYL Fundación Universidades;1;373;1;3663;0;1/01/2024
Castilla y León Exterior;1;64;0;1022;0;1/01/2024
ITACYL Instituto Técnico Agrario;1;1388;1;2846;0;1/01/2024
Deporte en Castilla y León;1;682;0;1806;1;1/01/2024
Empresas JCYL - ICE;1;0;0;908;0;1/01/2024
ECLAP Escuela de Administración Pública;1;433;1;4061;3;2/01/2024
Marca Territorio;1;298;2;4087;1;2/01/2024
FUESCYL Fundación Universidades;1;373;0;3663;0;2/01/2024
Empleo en Castilla y León;1;3336;8;14240;1;2/01/2024
Patrimonio Castilla y León;1;508;0;1438;0;2/01/2024
Centro de Emergencias Castilla y León 112;1;1921;6;22804;60;3/01/2024
CREFES Formación y Estudios Sociales;1;45;0;3563;0;3/01/2024
ECLAP Escuela de Administración Pública;1;433;0;4061;0;3/01/2024
Marca Territorio;1;300;2;4094;7;3/01/2024
Patrimonio Natural;1;363;1;9581;1;3/01/2024
Castilla y León Digital;1;1993;3;3406;1;3/01/2024
FUESCYL Fundación Universidades;1;375;2;3664;1;3/01/2024
Familia;1;438;0;2099;1;3/01/2024
Instituto de la Juventud de Castilla y León;1;1832;7;17968;4;4/01/2024
Comunicación Junta de Castilla y León;1;1253;3;37929;11;4/01/2024
Centro de Emergencias Castilla y León 112;1;1925;4;22947;143;4/01/2024
Patrimonio Natural;1;364;1;9581;0;4/01/2024
Castilla y León Digital;1;1996;3;3407;1;4/01/2024
Empleo en Castilla y León;1;3349;5;14249;6;4/01/2024
ITACYL Instituto Técnico Agrario;1;1394;3;2848;1;4/01/2024
Empresas JCYL - ICE;1;0;0;908;0;4/01/2024
Salud+JCYL;1;884;3;50277;1;5/01/2024
Instituto de la Juventud de Castilla y León;1;1837;5;17969;1;5/01/2024
Museos de Castilla y León;1;840;2;9103;1;5/01/2024
Tierra de Sabor;1;4154;2;64616;4;5/01/2024
Patrimonio Natural;1;365;1;9583;2;5/01/2024
Empleo en Castilla y León;1;3357;8;14255;6;5/01/2024
Empresas JCYL - ICE;1;0;0;908;0;5/01/2024
Instituto de la Juventud de Castilla y León;1;1839;2;17970;1;6/01/2024
Museos de Castilla y León;1;842;2;9104;1;6/01/2024
Centro de Emergencias Castilla y León 112;1;1934;5;23011;8;6/01/2024
Tierra de Sabor;1;4154;0;64617;1;6/01/2024
FUESCYL Fundación Universidades;1;376;0;3665;1;6/01/2024
Castilla y León Exterior;1;64;0;1021;0;6/01/2024
Empleo en Castilla y León;1;3360;3;14260;5;6/01/2024
ITACYL Instituto Técnico Agrario;1;1397;1;2849;1;6/01/2024
ECLAP Escuela de Administración Pública;1;438;2;4063;1;7/01/2024
FUESCYL Fundación Universidades;1;376;0;3665;0;7/01/2024
Castilla y León Exterior;1;64;0;1021;0;7/01/2024
Patrimonio Castilla y León;1;508;0;0;0;7/01/2024
Empresas JCYL - ICE;1;0;0;908;0;7/01/2024
Museos de Castilla y León;1;846;2;9110;5;8/01/2024
Comunicación Junta de Castilla y León;1;1264;0;37967;12;8/01/2024
Turismo Castilla y León es Vida;1;964;2;94495;0;8/01/2024
Archivos de Castilla y León;1;747;2;6920;0;8/01/2024
FUESCYL Fundación Universidades;1;377;1;3665;0;8/01/2024
Familia;1;445;6;2111;5;8/01/2024
Deporte en Castilla y León;1;687;1;1913;18;8/01/2024
Archivos de Castilla y León;1;749;2;6922;2;9/01/2024
Empleo en Castilla y León;1;3391;13;14289;5;9/01/2024
Patrimonio Castilla y León;1;508;0;1426;1;9/01/2024
Museos de Castilla y León;1;850;2;9122;3;10/01/2024
Tierra de Sabor;1;4166;3;64624;6;10/01/2024
Archivos de Castilla y León;1;751;2;6926;4;10/01/2024
Marca Territorio;1;309;3;4096;0;10/01/2024
Patrimonio Natural;1;370;1;9732;147;10/01/2024
ITACYL Instituto Técnico Agrario;1;1402;2;2856;2;10/01/2024
Familia;1;448;2;2113;0;10/01/2024
Deporte en Castilla y León;1;690;3;1935;11;10/01/2024
Patrimonio Castilla y León;1;508;0;1426;0;10/01/2024
Empresas JCYL - ICE;1;0;0;912;4;10/01/2024
Comunicación Junta de Castilla y León;1;1278;8;38007;10;11/01/2024
Centro de Emergencias Castilla y León 112;1;1956;4;22665;7;11/01/2024
Turismo Castilla y León es Vida;1;975;4;94522;9;11/01/2024
ECLAP Escuela de Administración Pública;1;442;1;4073;1;11/01/2024
Marca Territorio;1;311;2;4097;1;11/01/2024
Castilla y León Digital;1;2019;4;3421;5;11/01/2024
FUESCYL Fundación Universidades;1;379;1;3666;0;11/01/2024
Deporte en Castilla y León;1;691;1;1945;10;11/01/2024
Patrimonio Castilla y León;1;508;0;1426;0;11/01/2024
Instituto de la Juventud de Castilla y León;1;1865;4;18001;2;12/01/2024
Castilla y León Digital;1;2023;4;3427;6;12/01/2024
Castilla y León Exterior;1;64;0;1021;0;12/01/2024
Salud+JCYL;1;907;3;50323;3;13/01/2024
Instituto de la Juventud de Castilla y León;1;1868;3;18002;1;13/01/2024
Centro de Emergencias Castilla y León 112;1;1964;5;22669;1;13/01/2024
CREFES Formación y Estudios Sociales;1;45;0;3564;0;13/01/2024
Empleo en Castilla y León;1;3435;3;14302;-1;13/01/2024
ITACYL Instituto Técnico Agrario;1;1408;1;2863;0;13/01/2024
Familia;1;449;0;2115;-1;13/01/2024
Deporte en Castilla y León;1;692;0;1966;11;13/01/2024
Patrimonio Castilla y León;1;508;0;1426;0;13/01/2024
Museos de Castilla y León;1;858;2;9126;0;14/01/2024
Comunicación Junta de Castilla y León;1;1283;1;38069;19;14/01/2024
Centro de Emergencias Castilla y León 112;1;1968;4;22693;24;14/01/2024
Tierra de Sabor;1;4173;2;64641;2;14/01/2024
Archivos de Castilla y León;1;759;2;6932;1;14/01/2024
ECLAP Escuela de Administración Pública;1;447;2;4077;0;14/01/2024
FUESCYL Fundación Universidades;1;380;0;3666;0;14/01/2024
Familia;1;450;1;2115;0;14/01/2024
Empresas JCYL - ICE;1;0;0;915;0;14/01/2024
Centro de Emergencias Castilla y León 112;1;1970;2;22711;18;15/01/2024
Tierra de Sabor;1;4174;1;64646;5;15/01/2024
CREFES Formación y Estudios Sociales;1;45;0;3564;0;15/01/2024
ECLAP Escuela de Administración Pública;1;449;2;4079;2;15/01/2024
Marca Territorio;1;316;1;4098;0;15/01/2024
Castilla y León Digital;1;2032;3;3449;7;15/01/2024
ITACYL Instituto Técnico Agrario;1;1410;1;2862;-1;15/01/2024
Familia;1;452;2;2116;1;15/01/2024
Deporte en Castilla y León;1;696;4;1967;1;15/01/2024
Empresas JCYL - ICE;1;0;0;915;0;15/01/2024
Salud+JCYL;1;917;5;50352;6;16/01/2024
Museos de Castilla y León;1;862;2;9128;1;16/01/2024
Turismo Castilla y León es Vida;1;991;2;94661;72;16/01/2024
CREFES Formación y Estudios Sociales;1;45;0;3564;0;16/01/2024
Marca Territorio;1;318;2;4098;0;16/01/2024
FUESCYL Fundación Universidades;1;383;2;3666;0;16/01/2024
Patrimonio Castilla y León;1;508;0;1426;0;16/01/2024
Empresas JCYL - ICE;1;0;0;915;0;16/01/2024
Instituto de la Juventud de Castilla y León;1;1882;3;18011;2;17/01/2024
Centro de Emergencias Castilla y León 112;1;1990;6;22747;18;17/01/2024
Turismo Castilla y León es Vida;1;995;4;94805;144;17/01/2024
Tierra de Sabor;1;4178;2;64651;2;17/01/2024
Archivos de Castilla y León;1;765;2;6933;-2;17/01/2024
Marca Territorio;1;320;2;4097;-1;17/01/2024
Castilla y León Exterior;1;65;0;1022;0;17/01/2024
Familia;1;458;3;2129;2;17/01/2024
Deporte en Castilla y León;1;700;0;1968;1;17/01/2024
Instituto de la Juventud de Castilla y León;1;1887;5;18012;1;18/01/2024
Comunicación Junta de Castilla y León;1;1298;7;38112;8;18/01/2024
Centro de Emergencias Castilla y León 112;1;2000;10;22787;40;18/01/2024
Tierra de Sabor;1;4180;2;64648;-3;18/01/2024
Archivos de Castilla y León;1;767;2;6936;3;18/01/2024
Marca Territorio;1;322;2;4102;5;18/01/2024
Patrimonio Natural;1;376;1;0;0;18/01/2024
Castilla y León Exterior;1;65;0;1022;0;18/01/2024
Empleo en Castilla y León;1;3511;18;14350;8;18/01/2024
ITACYL Instituto Técnico Agrario;1;1413;1;2864;1;18/01/2024
Familia;1;459;1;2130;1;18/01/2024
Instituto de la Juventud de Castilla y León;1;1892;5;18018;6;19/01/2024
