fechaCreacion;Ciudad 1era instancia;Juzgado de origen;Autoridad de conocimiento;Tipo o tema del proceso;Instancia actual del proceso
09/02/2020;Bogotá;4;2;1;2
03/02/2022;Bogotá;10;2;1;2
09/02/2020;Bogotá;7;1;1;1
02/12/2020;Bogotá;30;2;1;2
14/03/2021;Bogotá;39;2;1;2
30/12/2019;Bogotá;13;2;1;2
21/10/2021;Bogotá;35;2;1;2
11/12/2020;Bogotá;23;2;1;2
29/11/2020;Bogotá;28;2;1;2
29/09/2022;Bogotá;36;1;1;1
23/08/2023;Bogotá;3;1;1;1
01/02/2020;Bogotá;22;2;1;2
07/09/2023;Bogotá;16;1;1;1
24/11/2021;Bogotá;41;2;1;2
18/10/2022;Bogotá;7;1;1;1
30/12/2019;Bogotá;26;2;1;2
18/01/2021;Bogotá;39;2;1;2
29/07/2021;Bogotá;38;1;1;1
25/02/2021;Bogotá;3;2;1;2
27/12/2019;Bogotá;20;2;1;2
30/12/2019;Bogotá;37;2;1;2
30/03/2022;Bogotá;3;1;1;1
30/12/2019;Bogotá;38;2;1;2
30/11/2023;Bogotá;4;1;1;1
17/07/2022;Bogotá;5;1;1;1
23/03/2020;Bogotá;27;2;1;2
01/12/2020;Bogotá;27;1;1;1
12/11/2021;Bogotá;18;2;1;2
02/03/2021;Bogotá;37;2;1;2
24/10/2023;Bogotá;9;1;1;1
13/09/2023;Bogotá;38;1;1;1
06/10/2023;Bogotá;9;1;3;1
28/09/2020;Bogotá;15;2;1;2
30/12/2019;Bogotá;1;2;1;2
20/04/2022;Bogotá;24;2;1;2
05/12/2019;Bogotá;12;2;1;2
16/12/2019;Bogotá;8;2;1;2
11/12/2020;Bogotá;1;2;1;2
20/02/2023;Bogotá;7;1;1;1
30/12/2019;Bogotá;27;2;1;2
16/02/2020;Bogotá;30;2;1;2
05/10/2020;Bogotá;15;2;1;2
30/12/2019;Bogotá;32;2;1;2
04/12/2020;Bogotá;29;2;1;2
16/03/2023;Bogotá;35;1;1;1
04/03/2021;Bogotá;7;1;1;2
13/07/2021;Bogotá;26;1;1;1
04/03/2020;Bogotá;37;2;1;2
03/12/2020;Bogotá;10;1;1;1
01/03/2022;Bogotá;16;1;1;2
27/07/2023;Bogotá;6;1;1;1
17/08/2022;Bogotá;3;1;1;1
18/12/2023;Bogotá;3;1;5;1
06/10/2023;Bogotá;24;1;1;1
27/12/2019;Bogotá;8;2;1;2
27/12/2019;Bogotá;34;2;1;2
27/12/2019;Bogotá;10;1;1;1
13/07/2021;Bogotá;15;2;1;2
06/04/2020;Bogotá;35;2;1;2
03/12/2019;Bogotá;11;2;1;2
14/09/2023;Bogotá;10;1;1;1
23/12/2020;Bogotá;34;2;1;2
24/11/2021;Bogotá;29;2;1;2
01/02/2020;Bogotá;17;2;1;2
08/01/2020;Bogotá;36;2;1;2
19/11/2020;Bogotá;15;2;1;2
19/11/2019;Bogotá;40;2;1;2
01/02/2020;Bogotá;21;2;1;2
14/06/2023;Bogotá;43;1;1;1
12/05/2022;Bogotá;33;1;1;1
01/02/2020;Bogotá;23;2;1;2
10/08/2021;Bogotá;22;1;1;1
04/04/2023;Bogotá;25;1;1;1
09/02/2020;Bogotá;26;2;1;2
30/12/2019;Bogotá;3;2;1;2
26/05/2021;Bogotá;1;2;1;2
13/06/2023;Bogotá;17;1;1;1
23/05/2022;Bogotá;10;2;1;2
03/12/2019;Bogotá;28;2;1;2
04/05/2023;Bogotá;21;1;1;1
01/06/2021;Bogotá;29;1;1;1
05/09/2023;Bogotá;32;1;5;1
05/10/2022;Bogotá;30;1;1;1
02/05/2021;Bogotá;38;2;1;2
05/10/2020;Bogotá;21;2;1;2
06/04/2020;Bogotá;31;2;1;2
28/02/2023;Bogotá;15;1;1;1
13/01/2021;Bogotá;1;2;1;2
29/03/2022;Bogotá;34;2;1;2
17/02/2022;Bogotá;5;2;1;2
03/02/2022;Bogotá;17;2;1;2
07/09/2023;Bogotá;28;1;1;1
01/10/2020;Bogotá;11;2;1;2
21/04/2021;Bogotá;34;1;1;1
05/11/2020;Bogotá;40;1;1;2
06/04/2020;Bogotá;37;2;1;2
30/06/2021;Bogotá;13;1;1;1
28/10/2022;Bogotá;22;1;1;1
31/01/2024;Bogotá;45;1;5;1
07/03/2023;Bogotá;37;1;1;1
01/03/2023;Bogotá;32;1;1;1
04/03/2020;Bogotá;17;2;1;2
03/12/2019;Bogotá;26;2;1;2
16/12/2019;Bogotá;35;2;1;2
06/07/2021;Bogotá;33;2;1;2
17/10/2019;Bogotá;12;2;1;2
07/09/2023;Bogotá;3;1;1;1
08/09/2021;Bogotá;26;2;1;2
24/03/2021;Bogotá;2;1;1;1
18/11/2019;Bogotá;22;2;1;2
26/10/2022;Bogotá;10;1;1;1
05/12/2019;Bogotá;21;2;1;2
01/03/2020;Bogotá;36;2;1;2
04/03/2021;Bogotá;21;2;1;2
01/03/2022;Bogotá;29;2;1;2
